Rv_ID	gene_name	Description	Expt	log2FC	q-val	q_val_D	UK_score_4
Rv1186c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.02	1	1	3
Rv1187	rocA	Probable pyrroline-5-carboxylate dehydrogenase RocA	xu_emb_3_vs_xu_emb_0	-1.16	1	1	0
Rv1188	-	Probable proline dehydrogenase	xu_emb_3_vs_xu_emb_0	-0.11	1	1	1
Rv1189	sigI	Possible alternative RNA polymerase sigma factor SigI	xu_emb_3_vs_xu_emb_0	-0.27	1	1	0
Rv1190	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.09	1	1	4
Rv1191	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.4	1	1	4
Rv1192	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.19	1	1	4
Rv1193	fadD36	Probable fatty-acid-CoA ligase FadD36 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	xu_emb_3_vs_xu_emb_0	0.58	1	1	1
Rv1194c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.42	1	1	3
Rv1195	PE13	PE family protein PE13	xu_emb_3_vs_xu_emb_0	-0.42	1	1	2
Rv1196	PPE18	PPE family protein PPE18	xu_emb_3_vs_xu_emb_0	0.16	1	1	2
Rv1197	esxK	ESAT-6 like protein EsxK (ESAT-6 like protein 3)	xu_emb_3_vs_xu_emb_0	0.51	1	1	3
Rv1198	esxL	Putative ESAT-6 like protein EsxL (ESAT-6 like protein 4)	xu_emb_3_vs_xu_emb_0	-0.02	1	1	3
Rv1199c	-	Possible transposase	xu_emb_3_vs_xu_emb_0	0.24	1	1	1
Rv1200	-	Probable conserved integral membrane transport protein	xu_emb_3_vs_xu_emb_0	-0.14	1	1	3
Rv1201c	dapD	Tetrahydrodipicolinate N-succinyltransferase DapD	xu_emb_3_vs_xu_emb_0	0	1	1	1
Rv1202	dapE	Probable succinyl-diaminopimelate desuccinylase DapE	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1203c	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.08	1	1	4
Rv1204c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.09	1	1	4
Rv1205	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.96	1	1	4
Rv1206	fadD6	Probable fatty-acid-CoA ligase FadD6 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	xu_emb_3_vs_xu_emb_0	0.39	1	1	1
Rv1207	folP2	Dihydropteroate synthase 2 FolP2 (DHPS 2) (dihydropteroate pyrophosphorylase 2)	xu_emb_3_vs_xu_emb_0	0.63	1	1	0
Rv1208	gpgS	Probable glucosyl-3-phosphoglycerate synthase GpgS	xu_emb_3_vs_xu_emb_0	1.55	1	1	1
Rv1209	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	3.42	0.04631	2	4
Rv1210	tagA	Probable DNA-3-methyladenine glycosylase I TagA (tag I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I)	xu_emb_3_vs_xu_emb_0	0.77	0.76035	1	0
Rv1211	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	1.78	1	1	4
Rv1212c	glgA	Putative glycosyl transferase GlgA	xu_emb_3_vs_xu_emb_0	0.96	1	1	1
Rv1213	glgC	Glucose-1-phosphate adenylyltransferase GlgC (ADP-glucose synthase) (ADP-glucose pyrophosphorylase)	xu_emb_3_vs_xu_emb_0	0.54	1	1	0
Rv1214c	PE14	PE family protein PE14	xu_emb_3_vs_xu_emb_0	-0.27	1	1	2
Rv1215c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.08	1	1	4
Rv1216c	-	Probable conserved integral membrane protein	xu_emb_3_vs_xu_emb_0	-0.21	1	1	3
Rv1217c	-	Probable tetronasin-transport integral membrane protein ABC transporter	xu_emb_3_vs_xu_emb_0	-0.32	1	1	1
Rv1218c	-	Probable tetronasin-transport ATP-binding protein ABC transporter	xu_emb_3_vs_xu_emb_0	-0.3	1	1	1
Rv1219c	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	-0.61	1	1	1
Rv1220c	-	Probable methyltransferase	xu_emb_3_vs_xu_emb_0	-0.22	1	1	3
Rv1221	sigE	Alternative RNA polymerase sigma factor SigE	xu_emb_3_vs_xu_emb_0	-1.36	1	1	0
Rv1222	rseA	Anti-sigma factor RseA	xu_emb_3_vs_xu_emb_0	0.71	1	1	2
Rv1223	htrA	Probable serine protease HtrA (DEGP protein)	xu_emb_3_vs_xu_emb_0	-0.24	1	1	0
Rv1224	tatB	Probable protein TatB	xu_emb_3_vs_xu_emb_0	0	1	1	1
Rv1225c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.49	1	1	3
Rv1226c	-	Probable transmembrane protein	xu_emb_3_vs_xu_emb_0	0.3	1	1	3
Rv1227c	-	Probable transmembrane protein	xu_emb_3_vs_xu_emb_0	-0.3	1	1	3
Rv1228	lpqX	Probable lipoprotein LpqX	xu_emb_3_vs_xu_emb_0	-0.29	1	1	2
Rv1229c	mrp	Probable Mrp-related protein Mrp	xu_emb_3_vs_xu_emb_0	0.33	1	1	2
Rv1230c	-	Possible membrane protein	xu_emb_3_vs_xu_emb_0	-0.22	1	1	2
Rv1231c	-	Probable membrane protein	xu_emb_3_vs_xu_emb_0	-0.2	1	1	4
Rv1232c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.2	1	1	3
Rv1233c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.65	1	1	4
Rv1234	-	Probable transmembrane protein	xu_emb_3_vs_xu_emb_0	0.51	1	1	4
Rv1235	lpqY	Probable sugar-binding lipoprotein LpqY	xu_emb_3_vs_xu_emb_0	0.05	1	1	0
Rv1236	sugA	Probable sugar-transport integral membrane protein ABC transporter SugA	xu_emb_3_vs_xu_emb_0	0.23	1	1	0
Rv1237	sugB	Probable sugar-transport integral membrane protein ABC transporter SugB	xu_emb_3_vs_xu_emb_0	0.1	1	1	0
Rv1238	sugC	Probable sugar-transport ATP-binding protein ABC transporter SugC	xu_emb_3_vs_xu_emb_0	0.13	1	1	0
Rv1239c	corA	Possible magnesium and cobalt transport transmembrane protein CorA	xu_emb_3_vs_xu_emb_0	-0.13	1	1	0
Rv1240	mdh	Probable malate dehydrogenase Mdh	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1241	vapB33	Possible antitoxin VapB33	xu_emb_3_vs_xu_emb_0	0	1	1	3
Rv1242	vapC33	Possible toxin VapC33 Contains PIN domain	xu_emb_3_vs_xu_emb_0	0.11	1	1	3
Rv1243c	PE_PGRS23	PE-PGRS family protein PE_PGRS23	xu_emb_3_vs_xu_emb_0	0.27	1	1	2
Rv1244	lpqZ	Probable lipoprotein LpqZ	xu_emb_3_vs_xu_emb_0	0.21	1	1	1
Rv1245c	-	Probable short-chain type dehydrogenase/reductase	xu_emb_3_vs_xu_emb_0	0.98	1	1	3
Rv1246c	relE	Toxin RelE	xu_emb_3_vs_xu_emb_0	-0.15	1	1	2
Rv1247c	relB	Antitoxin RelB	xu_emb_3_vs_xu_emb_0	0.43	1	1	2
Rv1248c	-	Multifunctional alpha-ketoglutarate metabolic enzyme	xu_emb_3_vs_xu_emb_0	-1.98	0.49514	1	1
Rv1249c	-	Possible membrane protein	xu_emb_3_vs_xu_emb_0	-0.05	1	1	3
Rv1250	-	Probable drug-transport integral membrane protein	xu_emb_3_vs_xu_emb_0	-0.05	1	1	2
Rv1251c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.02	1	1	3
Rv1252c	lprE	Probable lipoprotein LprE	xu_emb_3_vs_xu_emb_0	-1.4	0.94965	1	2
Rv1253	deaD	Probable cold-shock DeaD-box protein A homolog DeaD (ATP-dependent RNA helicase dead homolog)	xu_emb_3_vs_xu_emb_0	-0.3	1	1	0
Rv1254	-	Probable acyltransferase	xu_emb_3_vs_xu_emb_0	-3.74	1	1	1
Rv1255c	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	0.25	1	1	1
Rv1256c	cyp130	Probable cytochrome P450 130 Cyp130	xu_emb_3_vs_xu_emb_0	0.02	1	1	0
Rv1257c	-	Probable oxidoreductase	xu_emb_3_vs_xu_emb_0	-0.39	1	1	2
Rv1258c	-	Probable conserved integral membrane transport protein	xu_emb_3_vs_xu_emb_0	0.03	1	1	2
Rv1259	udgB	Probable uracil DNA glycosylase, UdgB	xu_emb_3_vs_xu_emb_0	-0.1	1	1	1
Rv1260	-	Probable oxidoreductase	xu_emb_3_vs_xu_emb_0	0.02	1	1	2
Rv1261c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.48	1	1	4
Rv1262c	-	Hypothetical hit-like protein	xu_emb_3_vs_xu_emb_0	-0.16	1	1	4
Rv1263	amiB2	Probable amidase AmiB2 (aminohydrolase)	xu_emb_3_vs_xu_emb_0	-0.13	1	1	0
Rv1264	-	Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase)	xu_emb_3_vs_xu_emb_0	-0.17	1	1	1
Rv1265	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.16	1	1	4
Rv1266c	pknH	Probable transmembrane serine/threonine-protein kinase H PknH (protein kinase H) (STPK H)	xu_emb_3_vs_xu_emb_0	-0.16	1	1	1
Rv1267c	embR	Probable transcriptional regulatory protein EmbR	xu_emb_3_vs_xu_emb_0	-0.11	1	1	0
Rv1268c	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.24	1	1	4
Rv1269c	-	Conserved probable secreted protein	xu_emb_3_vs_xu_emb_0	0.13	1	1	4
Rv1270c	lprA	Possible lipoprotein LprA	xu_emb_3_vs_xu_emb_0	5.19	0.11085	1	2
Rv1271c	-	Conserved hypothetical secreted protein	xu_emb_3_vs_xu_emb_0	-0.44	1	1	4
Rv1272c	-	Probable drugs-transport transmembrane ATP-binding protein ABC transporter	xu_emb_3_vs_xu_emb_0	0.04	1	1	1
Rv1273c	-	Probable drugs-transport transmembrane ATP-binding protein ABC transporter	xu_emb_3_vs_xu_emb_0	-0.01	1	1	1
Rv1274	lprB	Possible lipoprotein LprB	xu_emb_3_vs_xu_emb_0	0.85	1	1	2
Rv1275	lprC	Possible lipoprotein LprC	xu_emb_3_vs_xu_emb_0	-0.47	1	1	2
Rv1276c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.77	1	1	3
Rv1277	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.64	1	1	3
Rv1278	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.38	1	1	3
Rv1279	-	Probable dehydrogenase FAD flavoprotein GMC oxidoreductase	xu_emb_3_vs_xu_emb_0	-0.16	1	1	2
Rv1280c	oppA	Probable periplasmic oligopeptide-binding lipoprotein OppA	xu_emb_3_vs_xu_emb_0	-0.25	1	1	0
Rv1281c	oppD	Probable oligopeptide-transport ATP-binding protein ABC transporter OppD	xu_emb_3_vs_xu_emb_0	0.21	1	1	1
Rv1282c	oppC	Probable oligopeptide-transport integral membrane protein ABC transporter OppC	xu_emb_3_vs_xu_emb_0	-0.01	1	1	0
Rv1283c	oppB	Probable oligopeptide-transport integral membrane protein ABC transporter OppB	xu_emb_3_vs_xu_emb_0	0.02	1	1	0
Rv1284	canA	Beta-carbonic anhydrase	xu_emb_3_vs_xu_emb_0	-0.47	1	1	1
Rv1285	cysD	Probable sulfate adenylyltransferase subunit 2 CysD	xu_emb_3_vs_xu_emb_0	-0.87	1	1	0
Rv1286	cysN	Probable bifunctional enzyme CysN/CysC: sulfate adenyltransferase (subunit 1) + adenylylsulfate kinase	xu_emb_3_vs_xu_emb_0	0.93	0.87391	1	0
Rv1287	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.38	1	1	3
Rv1288	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.36	1	1	4
Rv1289	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.22	1	1	4
Rv1290A	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.16	1	1	3
Rv1290c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.3	1	1	4
Rv1291c	-	Conserved hypothetical secreted protein	xu_emb_3_vs_xu_emb_0	-0.38	1	1	4
Rv1292	argS	Probable arginyl-tRNA synthetase ArgS (ARGRS) (arginine--tRNA ligase)	xu_emb_3_vs_xu_emb_0	-0.04	1	1	0
Rv1293	lysA	Diaminopimelate decarboxylase LysA (DAP decarboxylase)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1294	thrA	Probable homoserine dehydrogenase ThrA	xu_emb_3_vs_xu_emb_0	-0.06	1	1	0
Rv1295	thrC	Threonine synthase ThrC (ts)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1296	thrB	Probable homoserine kinase ThrB	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1297	rho	Probable transcription termination factor Rho homolog	xu_emb_3_vs_xu_emb_0	-1.14	1	1	0
Rv1298	rpmE	50S ribosomal protein L31 RpmE	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1299	prfA	Probable peptide chain release factor 1 PrfA (RF-1)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1300	hemK	Probable HemK protein homolog HemK	xu_emb_3_vs_xu_emb_0	10.37	0	3	0
Rv1301	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.42	1	1	3
Rv1302	rfe	Probable undecapaprenyl-phosphate alpha-N-acetylglucosaminyltransferase Rfe (UDP-GlcNAc transferase)	xu_emb_3_vs_xu_emb_0	0.45	1	1	0
Rv1303	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.05	1	1	4
Rv1304	atpB	Probable ATP synthase a chain AtpB (protein 6)	xu_emb_3_vs_xu_emb_0	-0.13	1	1	0
Rv1305	atpE	Probable ATP synthase C chain AtpE (lipid-binding protein) (dicyclohexylcarbodiimide-binding protein)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1306	atpF	Probable ATP synthase B chain AtpF	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1307	atpH	Probable ATP synthase delta chain AtpH	xu_emb_3_vs_xu_emb_0	0.22	1	1	0
Rv1308	atpA	Probable ATP synthase alpha chain AtpA	xu_emb_3_vs_xu_emb_0	2.15	1	1	0
Rv1309	atpG	Probable ATP synthase gamma chain AtpG	xu_emb_3_vs_xu_emb_0	1.35	1	1	0
Rv1310	atpD	Probable ATP synthase beta chain AtpD	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1311	atpC	Probable ATP synthase epsilon chain AtpC	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1312	-	Conserved hypothetical secreted protein	xu_emb_3_vs_xu_emb_0	-0.06	1	1	4
Rv1313c	-	Possible transposase	xu_emb_3_vs_xu_emb_0	0.25	1	1	1
Rv1314c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.17	1	1	4
Rv1315	murA	Probable UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1316c	ogt	Methylated-DNA--protein-cysteine methyltransferase Ogt (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)	xu_emb_3_vs_xu_emb_0	0.12	1	1	0
Rv1317c	alkA	Probable bifunctional regulatory protein and DNA repair enzyme AlkA (regulatory protein of adaptative response) (methylphosphotriester-DNA--protein-cysteine S-methyltransferase)	xu_emb_3_vs_xu_emb_0	-0.14	1	1	0
Rv1318c	-	Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase)	xu_emb_3_vs_xu_emb_0	0.16	1	1	1
Rv1319c	-	Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase)	xu_emb_3_vs_xu_emb_0	0.33	1	1	1
Rv1320c	-	Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase)	xu_emb_3_vs_xu_emb_0	-0.25	1	1	1
Rv1321	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.39	1	1	3
Rv1322	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0	1	1	4
Rv1322A	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.42	1	1	2
Rv1323	fadA4	Probable acetyl-CoA acetyltransferase FadA4 (acetoacetyl-CoA thiolase)	xu_emb_3_vs_xu_emb_0	-0.36	1	1	1
Rv1324	-	Possible thioredoxin	xu_emb_3_vs_xu_emb_0	0.55	1	1	2
Rv1325c	PE_PGRS24	PE-PGRS family protein PE_PGRS24	xu_emb_3_vs_xu_emb_0	-0.88	1	1	2
Rv1326c	glgB	1,4-alpha-glucan branching enzyme GlgB (glycogen branching enzyme)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1327c	glgE	Probable glucanase GlgE	xu_emb_3_vs_xu_emb_0	-0.04	1	1	1
Rv1328	glgP	Probable glycogen phosphorylase GlgP	xu_emb_3_vs_xu_emb_0	0.61	1	1	0
Rv1329c	dinG	Probable ATP-dependent helicase DinG	xu_emb_3_vs_xu_emb_0	-0.19	1	1	0
Rv1330c	pncB1	Nicotinic acid phosphoribosyltransferase PncB1	xu_emb_3_vs_xu_emb_0	-0.4	1	1	1
Rv1331	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-1.11	1	1	4
Rv1332	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	-0.23	1	1	2
Rv1333	-	Probable hydrolase	xu_emb_3_vs_xu_emb_0	-0.07	1	1	2
Rv1334	mec	Possible hydrolase	xu_emb_3_vs_xu_emb_0	-0.2	1	1	2
Rv1335	cysO	Sulfur carrier protein CysO	xu_emb_3_vs_xu_emb_0	0.17	1	1	1
Rv1336	cysM	Cysteine synthase B CysM (CSASE B) (O-phosphoserine sulfhydrylase B) (O-phosphoserine (thiol)-lyase B)	xu_emb_3_vs_xu_emb_0	-0.13	1	1	0
Rv1337	-	Probable integral membrane protein	xu_emb_3_vs_xu_emb_0	2.31	1	1	4
Rv1338	murI	Probable glutamate racemase MurI	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1339	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.81	0.8753	1	4
Rv1340	rphA	Probable ribonuclease RphA (RNase PH) (tRNA nucleotidyltransferase)	xu_emb_3_vs_xu_emb_0	0.1	1	1	0
Rv1341	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.53	1	1	3
Rv1342c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	3.04	0.6865	1	3
Rv1343c	lprD	Probable conserved lipoprotein LprD	xu_emb_3_vs_xu_emb_0	0.34	1	1	2
Rv1344	mbtL	Acyl carrier protein (ACP) MbtL	xu_emb_3_vs_xu_emb_0	0.07	1	1	0
Rv1345	mbtM	Probable fatty acyl-AMP ligase MbtM	xu_emb_3_vs_xu_emb_0	-0.06	1	1	0
Rv1346	mbtN	Acyl-CoA dehydrogenase MbtN	xu_emb_3_vs_xu_emb_0	-0.56	1	1	0
Rv1347c	mbtK	Lysine N-acetyltransferase MbtK	xu_emb_3_vs_xu_emb_0	-0.77	1	1	0
Rv1348	irtA	Iron-regulated transporter IrtA	xu_emb_3_vs_xu_emb_0	1	1	1	0
Rv1349	irtB	Iron-regulated transporter IrtB	xu_emb_3_vs_xu_emb_0	1.01	1	1	0
Rv1350	fabG2	Probable 3-oxoacyl-[acyl-carrier protein] reductase FabG2 (3-ketoacyl-acyl carrier protein reductase)	xu_emb_3_vs_xu_emb_0	0.22	1	1	1
Rv1351	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.48	1	1	4
Rv1352	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.34	1	1	4
Rv1353c	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	-0.05	1	1	1
Rv1354c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.14	1	1	3
Rv1355c	moeY	Possible molybdopterin biosynthesis protein MoeY	xu_emb_3_vs_xu_emb_0	0.04	1	1	0
Rv1356c	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	0.11	1	1	4
Rv1357c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.17	1	1	3
Rv1358	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	0.26	1	1	1
Rv1359	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	0.15	1	1	1
Rv1360	-	Probable oxidoreductase	xu_emb_3_vs_xu_emb_0	-0.08	1	1	2
Rv1361c	PPE19	PPE family protein PPE19	xu_emb_3_vs_xu_emb_0	0.41	1	1	2
Rv1362c	-	Possible membrane protein	xu_emb_3_vs_xu_emb_0	0.16	1	1	4
Rv1363c	-	Possible membrane protein	xu_emb_3_vs_xu_emb_0	0.27	1	1	4
Rv1364c	-	Possible sigma factor regulatory protein	xu_emb_3_vs_xu_emb_0	-0.1	1	1	1
Rv1365c	rsfA	Anti-anti-sigma factor RsfA (anti-sigma factor antagonist) (regulator of sigma F A)	xu_emb_3_vs_xu_emb_0	0.38	1	1	1
Rv1366	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.37	1	1	4
Rv1366A	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.06	1	1	
Rv1367c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.03	1	1	2
Rv1368	lprF	Probable conserved lipoprotein LprF	xu_emb_3_vs_xu_emb_0	0.95	1	1	2
Rv1369c	-	Probable transposase	xu_emb_3_vs_xu_emb_0	0.35	1	1	1
Rv1370c	-	Putative transposase for insertion sequence element IS6110 (fragment)	xu_emb_3_vs_xu_emb_0	0.41	1	1	1
Rv1371	-	Probable conserved membrane protein	xu_emb_3_vs_xu_emb_0	-0.23	1	1	4
Rv1372	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.23	1	1	2
Rv1373	-	Glycolipid sulfotransferase	xu_emb_3_vs_xu_emb_0	-0.14	1	1	2
Rv1374c	-	Hypothetical protein	xu_emb_3_vs_xu_emb_0	0.11	1	1	4
Rv1375	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.15	1	1	4
Rv1376	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.07	1	1	4
Rv1377c	-	Putative transferase	xu_emb_3_vs_xu_emb_0	-0.22	1	1	3
Rv1378c	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.07	1	1	3
Rv1379	pyrR	Probable pyrimidine operon regulatory protein PyrR	xu_emb_3_vs_xu_emb_0	-1.4	1	1	0
Rv1380	pyrB	Probable aspartate carbamoyltransferase PyrB (ATCase) (aspartate transcarbamylase)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1381	pyrC	Probable dihydroorotase PyrC (DHOase)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1382	-	Probable export or membrane protein	xu_emb_3_vs_xu_emb_0	1.35	1	1	4
Rv1383	carA	Probable carbamoyl-phosphate synthase small chain CarA (carbamoyl-phosphate synthetase glutamine chain)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1384	carB	Probable carbamoyl-phosphate synthase large chain CarB (carbamoyl-phosphate synthetase ammonia chain)	xu_emb_3_vs_xu_emb_0	-0.03	1	1	0
Rv1385	pyrF	Probable orotidine 5'-phosphate decarboxylase PyrF (OMP decarboxylase) (ompdecase)	xu_emb_3_vs_xu_emb_0	3.34	1	1	0
Rv1386	PE15	PE family protein PE15	xu_emb_3_vs_xu_emb_0	-0.72	1	1	2
Rv1387	PPE20	PPE family protein PPE20	xu_emb_3_vs_xu_emb_0	-0.66	0.87391	1	2
Rv1388	mihF	Putative integration host factor MihF	xu_emb_3_vs_xu_emb_0	-0.76	1	1	2
Rv1389	gmk	Probable guanylate kinase Gmk	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1390	rpoZ	Probable DNA-directed RNA polymerase (omega chain) RpoZ (transcriptase omega chain) (RNA polymerase omega subunit)	xu_emb_3_vs_xu_emb_0	0	1	1	1
Rv1391	dfp	Probable DNA/pantothenate metabolism flavoprotein homolog Dfp	xu_emb_3_vs_xu_emb_0	0.09	1	1	0
Rv1392	metK	Probable S-adenosylmethionine synthetase MetK (mat) (AdoMet synthetase) (methionine adenosyltransferase)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1393c	-	Probable monoxygenase	xu_emb_3_vs_xu_emb_0	-0.22	1	1	2
Rv1394c	cyp132	Probable cytochrome P450 132 Cyp132	xu_emb_3_vs_xu_emb_0	0.11	1	1	0
Rv1395	-	Transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	-0.03	1	1	1
Rv1396c	PE_PGRS25	PE-PGRS family protein PE_PGRS25	xu_emb_3_vs_xu_emb_0	0.37	1	1	2
Rv1397c	vapC10	Possible toxin VapC10	xu_emb_3_vs_xu_emb_0	-0.36	1	1	3
Rv1398c	vapB10	Possible antitoxin VapB10	xu_emb_3_vs_xu_emb_0	-0.62	1	1	3
Rv1399c	nlhH	Probable non lipolytic carboxylesterase NlhH	xu_emb_3_vs_xu_emb_0	0.07	1	1	1
Rv1400c	lipI	Probable lipase LipH	xu_emb_3_vs_xu_emb_0	-0.21	1	1	1
Rv1401	-	Possible membrane protein	xu_emb_3_vs_xu_emb_0	0.54	1	1	3
Rv1402	priA	Putative primosomal protein N' PriA (replication factor Y)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1403c	-	Putative methyltransferase	xu_emb_3_vs_xu_emb_0	-0.05	1	1	2
Rv1404	-	Probable transcriptional regulatory protein	xu_emb_3_vs_xu_emb_0	0.64	1	1	1
Rv1405c	-	Putative methyltransferase	xu_emb_3_vs_xu_emb_0	-0.14	1	1	2
Rv1406	fmt	Probable methionyl-tRNA formyltransferase Fmt	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1407	fmu	Probable Fmu protein (sun protein)	xu_emb_3_vs_xu_emb_0	0.4	1	1	1
Rv1408	rpe	Probable ribulose-phosphate 3-epimerase Rpe (PPE) (R5P3E) (pentose-5-phosphate 3-epimerase)	xu_emb_3_vs_xu_emb_0	0.1	1	1	0
Rv1409	ribG	Probable bifunctional riboflavin biosynthesis protein RibG : diaminohydroxyphosphoribosylaminopyrimidine deaminase (riboflavin-specific deaminase) + 5-amino-6-(5-phosphoribosylamino) uracil reductase (HTP reductase)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1410c	-	Aminoglycosides/tetracycline-transport integral membrane protein	xu_emb_3_vs_xu_emb_0	-0.98	1	1	2
Rv1411c	lprG	Conserved lipoprotein LprG	xu_emb_3_vs_xu_emb_0	-2.52	0.03159	2	2
Rv1412	ribC	Probable riboflavin synthase alpha chain RibC (RibE)	xu_emb_3_vs_xu_emb_0	-0.01	1	1	0
Rv1413	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.5	1	1	3
Rv1414	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	-0.14	1	1	3
Rv1415	ribA2	Probable riboflavin biosynthesis protein RibA2 : GTP cyclohydrolase II + 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase)	xu_emb_3_vs_xu_emb_0	0	1	1	0
Rv1416	ribH	Probable riboflavin synthase beta chain RibH (6,7-dimethyl-8-ribityllumazine synthase) (DMRL synthase) (lumazine synthase)	xu_emb_3_vs_xu_emb_0	0.42	1	1	0
Rv1417	-	Possible conserved membrane protein	xu_emb_3_vs_xu_emb_0	-0.6	1	1	4
Rv1418	lprH	Probable lipoprotein LprH	xu_emb_3_vs_xu_emb_0	-0.33	1	1	2
Rv1419	-	hypothetical protein	xu_emb_3_vs_xu_emb_0	0.15	1	1	4
